SUBJECT_RACE,REASON_FOR_FORCE,OFFICER_RACE
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Assaulting Officer(s),Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Other / Non-Compliant,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Black,Resisting Arrest,Black
Hispanic,Assaulting Citizen(s),Black
Hispanic,Assaulting Citizen(s),Black
Hispanic,Assaulting Citizen(s),Black
Hispanic,Assaulting Citizen(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Assaulting Officer(s),Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Other / Non-Compliant,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
Hispanic,Resisting Arrest,Black
UNDEFINED,Assaulting Citizen(s),Black
UNDEFINED,Assaulting Citizen(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Assaulting Officer(s),Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Other / Non-Compliant,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
UNDEFINED,Resisting Arrest,Black
White,Assaulting Citizen(s),Black
White,Assaulting Citizen(s),Black
White,Assaulting Citizen(s),Black
White,Assaulting Citizen(s),Black
White,Assaulting Citizen(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
White,Assaulting Officer(s),Black
